Date,Settle,Volume
5/14/2018,12.325,4
5/11/2018,12.485,10
5/10/2018,12.355,20
5/9/2018,12.45,12
5/8/2018,12.525,21
5/7/2018,12.53,14
5/4/2018,12.68,20
5/3/2018,12.745,0
5/2/2018,12.755,17
5/1/2018,12.635,2
4/30/2018,12.785,142
4/27/2018,12.81,204
4/26/2018,12.71,883
4/25/2018,13.105,531
4/24/2018,13.13,565
4/23/2018,13.065,774
4/20/2018,12.99,637
4/19/2018,13.08,435
4/18/2018,13.175,549
4/17/2018,13.155,624
4/16/2018,13.055,639
4/13/2018,13.11,910
4/12/2018,12.885,649
4/11/2018,12.805,545
4/10/2018,12.775,964
4/9/2018,12.82,1679
4/6/2018,12.495,524
4/5/2018,12.39,362
4/4/2018,12.42,274
4/3/2018,12.385,425
4/2/2018,12.31,457
3/29/2018,12.355,484
3/28/2018,12.445,447
3/27/2018,12.445,284
3/26/2018,12.46,274
3/23/2018,12.36,261
3/22/2018,12.325,259
3/21/2018,12.315,336
3/20/2018,12.205,182
3/19/2018,12.285,206
3/16/2018,12.46,237
3/15/2018,12.41,204
3/14/2018,12.1,0
3/13/2018,12.1,0
3/12/2018,12.135,0
3/9/2018,12.16,0
3/8/2018,12.26,0
3/7/2018,12.315,1
3/6/2018,12.31,44
3/5/2018,12.3,3
3/2/2018,12.265,128
3/1/2018,12.42,24
2/28/2018,12.39,166
2/27/2018,11.95,510
2/26/2018,11.89,1402
2/23/2018,11.965,559
2/22/2018,12.02,605
2/21/2018,11.96,439
2/20/2018,11.855,661
2/16/2018,12.015,626
2/15/2018,11.95,750
2/14/2018,12.25,395
2/13/2018,12.285,427
2/12/2018,12.39,595
2/9/2018,12.325,628
2/8/2018,12.445,394
2/7/2018,12.5,401
2/6/2018,12.55,270
2/5/2018,12.53,362
2/2/2018,12.46,515
2/1/2018,12.405,540
1/31/2018,12.44,823
1/30/2018,12.41,560
1/29/2018,12.435,876
1/26/2018,12.335,678
1/25/2018,12.14,400
1/24/2018,12.165,307
1/23/2018,12.2,348
1/22/2018,12.18,224
1/19/2018,12.205,372
1/18/2018,12.145,530
1/17/2018,12.15,713
1/16/2018,12.145,1159
1/12/2018,11.58,13
1/11/2018,11.52,10
1/10/2018,11.695,17
1/9/2018,11.71,9
1/8/2018,11.645,30
1/5/2018,11.565,4
1/4/2018,11.475,0
1/3/2018,11.41,15
1/2/2018,11.535,2
12/29/2017,11.68,175
12/28/2017,11.655,863
12/27/2017,11.79,648
12/26/2017,11.795,1279
12/22/2017,11.95,323
12/21/2017,11.995,531
12/20/2017,11.84,432
12/19/2017,11.715,828
12/18/2017,11.71,642
12/15/2017,11.705,723
12/14/2017,11.715,1156
12/13/2017,11.77,877
12/12/2017,12.26,553
12/11/2017,12.22,492
12/8/2017,12.065,457
12/7/2017,12.13,340
12/6/2017,12.185,246
12/5/2017,12.33,297
12/4/2017,12.18,684
12/1/2017,12.46,536
11/30/2017,12.53,828
11/29/2017,12.375,582
11/28/2017,12.305,476
11/27/2017,12.295,616
11/24/2017,12.42,309
11/22/2017,12.42,921
11/21/2017,12.34,560
11/20/2017,12.375,472
11/17/2017,12.285,509
11/16/2017,12.165,642
11/15/2017,12.085,1046
11/14/2017,11.24,16
